budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,802,1.3214516012058208,0.14882484533763823,2388,False,False
429,803,2.4899319741647257,0.2804217276048303,863,True,False
429,804,3.8310614681291386,0.431462741392146,211,True,False
429,807,2.0999939953888367,0.23650603721583802,1285,False,False
429,808,0.44654017161911636,0.050290356391120394,3728,False,False
429,809,0.31758447784079513,0.03576707671560748,3864,False,False
429,810,0.7765367923704625,0.08745531650047897,3346,False,False
429,811,1.0788571109850502,0.12150330934349021,2837,False,False
429,812,1.5475748486047085,0.1742913529953352,2044,False,False
429,813,0.2574989174971155,0.029000106047129198,3928,False,False
429,814,0.2871680592860193,0.03234151138804742,3905,False,False
429,815,2.679298973829657,0.3017486641430051,723,True,False
429,816,3.008725409222276,0.33884940869747776,511,True,False
429,818,1.230401443492187,0.1385705722130423,2561,False,False
429,819,0.8978350445497052,0.10111619791590808,3142,False,False
429,820,0.4751051260251637,0.05350740567062295,3699,False,False
429,821,1.4922513521845902,0.1680606966544231,2123,False,False
429,822,1.0483647215891805,0.11806918800928892,2886,False,False
429,823,1.5882762929610341,0.17887524101349744,1966,False,False
429,824,0.8964215629617968,0.10095700844690587,3144,False,False
429,825,1.619832480305469,0.18242916966037004,1915,False,False
429,826,1.7471434170384395,0.19676721310576378,1722,False,False
429,827,1.7630188651575993,0.19855514170552768,1697,False,False
429,830,1.5492653434739208,0.17448174032183664,2041,False,False
429,831,1.89210876634986,0.21309353612122817,1546,False,False
429,832,3.117750075864963,0.35112801136160837,461,True,False
429,834,1.8923405656465213,0.21311964187829377,1545,False,False
429,835,1.5139541117869613,0.17050491015287855,2096,False,False
429,836,1.5476044792361359,0.17429469006355278,2043,False,False
429,837,0.8067073508983189,0.09085319251997236,3289,False,False
429,838,3.3480814087426527,0.37706844305101317,365,True,False
429,839,3.6199900168255414,0.4076914007945905,262,True,False
429,840,0.8145074722845507,0.0917316596979314,3283,False,False
429,843,2.8595847941276267,0.322052857878085,590,True,False
429,844,0.8607053383476767,0.09693456706548076,3205,False,False
