{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 50, 'steps': 150, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 30.72}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 75, 'steps': 225, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 44.44}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 100, 'steps': 300, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 58.75}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 125, 'steps': 375, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 74.1}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 1, 'steps': 3, 'best_epoch': 1, 'best_rmse': 12.2388573002584, 'elapsed_seconds': 1.38}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 25, 'steps': 75, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 13.8}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 50, 'steps': 150, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 27.03}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 75, 'steps': 225, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 40.64}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 100, 'steps': 300, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 54.55}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 125, 'steps': 375, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 68.49}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 150, 'steps': 450, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 83.55}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 175, 'steps': 525, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 98.99}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 200, 'steps': 600, 'best_epoch': 192, 'best_rmse': 8.21919201511823, 'elapsed_seconds': 114.6}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 225, 'steps': 675, 'best_epoch': 192, 'best_rmse': 8.21919201511823, 'elapsed_seconds': 130.66}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 250, 'steps': 750, 'best_epoch': 192, 'best_rmse': 8.21919201511823, 'elapsed_seconds': 146.19}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 275, 'steps': 825, 'best_epoch': 192, 'best_rmse': 8.21919201511823, 'elapsed_seconds': 163.0}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 300, 'steps': 900, 'best_epoch': 192, 'best_rmse': 8.21919201511823, 'elapsed_seconds': 180.6}
{'stage': 'part_b_selection', 'arm': 'D', 'rule': 'minimum seed525 best validation RMSE among B-E; ties: fewer updates, fewer epochs, arm ID; select even if worse than A', 'evidence': {'A': '3be445b7e12affec3062a0faef51b0e97c2f0ff3750928d310c6ca21a78e52b0', 'B': '5765d2cf77dede411b8ebdbd8bdb616f444b99193a371594ecf83f1c3d2148ea', 'C': '0904d19f762a4049054ec85c3948be904fd5e04a1b0188e9d23520e50dd4229c', 'D': 'a992f18154c1790d50e31fecba493943f8e8e3c7e3311dfc15ef3bc7cab5f800', 'E': '4998ff79d4f2410f297a7e4002195ff0315b7417ae1d9377a39c9b5b87ce8950'}, 'part_a_rmse': {'A': 7.918731533604954, 'B': 7.7579312989417835, 'C': 8.30565877780421, 'D': 7.752414989563484, 'E': 8.21919201511823}}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 1, 'steps': 1, 'best_epoch': 1, 'best_rmse': 12.425216834158856, 'elapsed_seconds': 0.91}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 25, 'steps': 25, 'best_epoch': 17, 'best_rmse': 8.785107046906262, 'elapsed_seconds': 19.38}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 50, 'steps': 50, 'best_epoch': 17, 'best_rmse': 8.785107046906262, 'elapsed_seconds': 39.62}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 75, 'steps': 75, 'best_epoch': 75, 'best_rmse': 7.531157041696235, 'elapsed_seconds': 59.57}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 100, 'steps': 100, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 79.9}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 125, 'steps': 125, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 101.11}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 150, 'steps': 150, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 122.83}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 175, 'steps': 175, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 146.72}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 200, 'steps': 200, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 171.13}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 225, 'steps': 225, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 196.86}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 250, 'steps': 250, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 219.15}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 275, 'steps': 275, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 248.8}
{'stage': 'training', 'arm': 'A', 'seed': 1525, 'epoch': 300, 'steps': 300, 'best_epoch': 86, 'best_rmse': 7.513503344962675, 'elapsed_seconds': 282.99}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 1, 'steps': 2, 'best_epoch': 1, 'best_rmse': 10.82118149530987, 'elapsed_seconds': 1.53}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 25, 'steps': 50, 'best_epoch': 23, 'best_rmse': 8.53184494123231, 'elapsed_seconds': 34.6}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 50, 'steps': 100, 'best_epoch': 46, 'best_rmse': 7.650245710807934, 'elapsed_seconds': 77.39}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 75, 'steps': 150, 'best_epoch': 73, 'best_rmse': 7.560802769040195, 'elapsed_seconds': 127.41}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 100, 'steps': 200, 'best_epoch': 80, 'best_rmse': 7.523401133050363, 'elapsed_seconds': 181.2}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 125, 'steps': 250, 'best_epoch': 105, 'best_rmse': 7.510287342431208, 'elapsed_seconds': 233.85}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 150, 'steps': 300, 'best_epoch': 148, 'best_rmse': 7.474528278115052, 'elapsed_seconds': 287.65}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 175, 'steps': 350, 'best_epoch': 158, 'best_rmse': 7.459003684377178, 'elapsed_seconds': 340.13}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 200, 'steps': 400, 'best_epoch': 158, 'best_rmse': 7.459003684377178, 'elapsed_seconds': 391.64}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 225, 'steps': 450, 'best_epoch': 207, 'best_rmse': 7.4324235047164695, 'elapsed_seconds': 443.42}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 250, 'steps': 500, 'best_epoch': 207, 'best_rmse': 7.4324235047164695, 'elapsed_seconds': 491.33}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 275, 'steps': 550, 'best_epoch': 207, 'best_rmse': 7.4324235047164695, 'elapsed_seconds': 539.02}
{'stage': 'training', 'arm': 'D', 'seed': 1525, 'epoch': 300, 'steps': 600, 'best_epoch': 277, 'best_rmse': 7.429391737949848, 'elapsed_seconds': 586.8}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 1, 'steps': 1, 'best_epoch': 1, 'best_rmse': 11.351849074789792, 'elapsed_seconds': 1.93}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 25, 'steps': 25, 'best_epoch': 14, 'best_rmse': 9.241944917740392, 'elapsed_seconds': 41.64}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 50, 'steps': 50, 'best_epoch': 48, 'best_rmse': 8.060038402098899, 'elapsed_seconds': 83.88}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 75, 'steps': 75, 'best_epoch': 48, 'best_rmse': 8.060038402098899, 'elapsed_seconds': 127.23}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 100, 'steps': 100, 'best_epoch': 97, 'best_rmse': 8.053488658291723, 'elapsed_seconds': 166.85}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 125, 'steps': 125, 'best_epoch': 107, 'best_rmse': 8.021802885167704, 'elapsed_seconds': 207.08}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 150, 'steps': 150, 'best_epoch': 107, 'best_rmse': 8.021802885167704, 'elapsed_seconds': 248.76}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 175, 'steps': 175, 'best_epoch': 175, 'best_rmse': 7.992852036505906, 'elapsed_seconds': 294.01}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 200, 'steps': 200, 'best_epoch': 187, 'best_rmse': 7.992265704175137, 'elapsed_seconds': 340.3}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 225, 'steps': 225, 'best_epoch': 216, 'best_rmse': 7.96527574467966, 'elapsed_seconds': 386.41}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 250, 'steps': 250, 'best_epoch': 216, 'best_rmse': 7.96527574467966, 'elapsed_seconds': 431.6}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 275, 'steps': 275, 'best_epoch': 216, 'best_rmse': 7.96527574467966, 'elapsed_seconds': 476.53}
{'stage': 'training', 'arm': 'A', 'seed': 2525, 'epoch': 300, 'steps': 300, 'best_epoch': 279, 'best_rmse': 7.944429579010477, 'elapsed_seconds': 519.6}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 1, 'steps': 2, 'best_epoch': 1, 'best_rmse': 10.078010748015942, 'elapsed_seconds': 2.46}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 25, 'steps': 50, 'best_epoch': 23, 'best_rmse': 8.003408502540386, 'elapsed_seconds': 46.9}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 50, 'steps': 100, 'best_epoch': 49, 'best_rmse': 7.764550676446086, 'elapsed_seconds': 97.07}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 75, 'steps': 150, 'best_epoch': 71, 'best_rmse': 7.756032454282612, 'elapsed_seconds': 147.29}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 100, 'steps': 200, 'best_epoch': 71, 'best_rmse': 7.756032454282612, 'elapsed_seconds': 202.74}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 125, 'steps': 250, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 249.29}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 150, 'steps': 300, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 293.97}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 175, 'steps': 350, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 338.63}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 200, 'steps': 400, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 382.61}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 225, 'steps': 450, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 428.64}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 250, 'steps': 500, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 474.24}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 275, 'steps': 550, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 517.48}
{'stage': 'training', 'arm': 'D', 'seed': 2525, 'epoch': 300, 'steps': 600, 'best_epoch': 102, 'best_rmse': 7.755326949298554, 'elapsed_seconds': 559.78}
